,API_City_ID,City,Country_Code,Latitude,Longitude,Max Tempurature (F),Humidity,Cloudiness_%,Wind_(mph)
87,6450400,Ascain,FR,43.35,-1.62,89.6,73,75,5.82
88,6359364,Talamanca de Jarama,ES,40.74,-3.49,96.8,20,40,10.29
89,3108519,Subiza,ES,42.72,-1.67,95.0,43,40,9.17
90,6615395,-,CH,47.46,8.56,86.0,23,0,10.29
91,3991116,Quiringuícharo,MX,20.2,-102.17,61.73,93,76,3.27
92,5866574,Kodiak Island Borough,US,57.33,-153.33,57.2,100,100,23.04
93,6552883,Breddenberg,DE,52.95,7.6,77.0,41,48,5.82
94,788762,Lebane,RS,42.92,21.74,86.0,33,0,4.7
95,3182239,Belforte allIsauro,IT,43.72,12.38,91.4,74,0,9.17
96,3075296,Horni Mesto,CZ,49.91,17.21,77.03,38,0,5.5
97,3114070,Pedrosillo de los Aires,ES,40.72,-5.71,86.0,33,20,10.29
98,4346455,Winnfield,US,31.93,-92.64,84.2,74,40,3.36
99,2953443,Bad Heilbrunn,DE,47.75,11.46,86.0,30,20,9.17
100,4850657,Cedar,US,41.21,-92.53,84.2,61,1,4.5
101,2652557,Collington,GB,52.25,-2.52,68.0,82,75,8.05
102,2813397,Weg,DE,47.7,10.6,82.4,30,0,8.05
103,258377,Ligourion,GR,37.62,23.03,82.4,34,40,12.75
104,1607097,Raman,TH,6.48,101.42,78.8,94,20,2.24
105,6534500,Peia,IT,45.8,9.9,87.8,69,75,10.29
106,2829688,Staherheide,DE,50.98,6.0,82.4,30,20,10.29
107,4063613,Fyffe,US,34.45,-85.9,87.8,54,40,4.7
108,502078,Reshetikha,RU,56.22,43.29,78.8,41,0,6.71
109,1013337,Clermont,ZA,-29.79,30.9,69.83,31,8,2.48
110,676588,Gugesti,RO,45.57,27.13,79.73,53,0,3.94
111,2779514,Fladnitz im Raabtal,AT,46.99,15.79,80.6,47,20,10.29
112,4968234,Jay,US,44.5,-70.22,71.6,77,90,4.7
113,4725484,Saint Paul,US,33.04,-96.55,80.6,88,75,9.17
114,202326,Cyangugu,RW,-2.48,28.91,73.52,69,44,3.83
115,1690088,San Felipe,PH,14.02,122.93,79.64,88,88,18.25
